ZipCode,Estimate!!Households!!Total,"Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars)
02364,5321,10.5,19.7,16.6,16.3,103945
02366,0,-,-,-,-,-
02367,989,15.5,22.3,13.4,18.6,118098
02368,12167,13.3,21.3,9.7,12,87985
02370,6654,13.3,20.3,13.9,10.4,90315
02375,4482,10.5,20.6,13.3,21.6,110549
02379,2726,12.1,25.2,17,14.7,111964
02382,5684,13.7,25.2,12.8,9.1,94919
02420,5374,5,13.4,11.9,53.9,215303
02421,6927,7.2,13.3,12.8,48.3,191140
02445,9225,9.7,17.5,11.7,32.6,126832
02446,14278,11.1,18,9.4,26,109845
02451,7586,11.3,18.7,13.3,22.8,109021
02452,5215,8.8,23,9.1,18.9,101857
02453,12115,14,21.7,13,15.4,100167
02457,18,0,0,0,0,-
02458,4871,11.4,15,12.5,34.2,131992
02459,6268,7.7,11.5,13.1,50.1,200091
02460,3776,8.2,20.2,14.5,33,140000
02461,2532,9.3,13.5,12.3,45.9,181220
02462,532,6.6,10.2,1.5,38,91944
02464,1370,9.2,20.7,8.7,28,121071
